Periodo;1.Producción Minera;2.Metálico;3.No metálico;4.Recursos energéticos;5.Producción Minera, desestacionalizado
2004;90,31;;;;89,80
2005;89,63;;;;89,52
2006;90,26;;;;90,26
2007;93,77;;;;93,87
2008;88,92;;;;88,69
2009;89,20;;;;89,30
2010;90,23;;;;90,37
2011;90,17;;;;90,23
2012;93,69;;;;93,31
2013;99,16;;;;99,27
2014;100,19;;;;100,33
2015;99,89;;;;100,06
2016;97,14;;;;96,77
2017;95,39;;;;95,34
2018;100,00;100,00;100,00;100,00;100,10
2019;97,99;97,46;104,97;97,54;98,01
2020;98,75;98,18;109,29;67,01;98,41
2021;98,44;96,12;132,08;65,77;98,60
2022;96,08;91,21;162,48;72,94;96,13
2023;95,37;90,00;168,28;71,91;95,50
2024;99,58;93,23;186,01;70,48;99,12
